Skolenavn,lat,lng,Postdist,sid,Has Solar
Stensagerskolen,56.166771,10.137611,Brabrand,0,Doesn't have solar
Bakkegårdsskolen,56.253349,10.148964,Trige,22224,Has solar
Ellevangskolen,56.203037,10.217692,Risskov,0,Doesn't have solar
Beder Skole,56.061577,10.21161,Beder,0,Doesn't have solar
Elev Skole,56.241188,10.199622,Lystrup,0,Doesn't have solar
Elsted Skole,56.241524,10.228948,Lystrup,60129,Has solar
Engdalskolen,56.152943,10.109608,Brabrand,0,Doesn't have solar
Gammelgaardsskolen,56.159332,10.157077,Åbyhøj,0,Doesn't have solar
Sødalskolen,56.150375,10.136786,Brabrand,0,Doesn't have solar
Hasle Skole,56.169296,10.16368,Aarhus V,16022,Has solar
Bavnehøj Skole,56.106026,10.096877,Hasselager,0,Doesn't have solar
Holme Skole,56.116238,10.178248,Højbjerg,16008,Has solar
Højvangskolen,56.129898,10.115003,Viby J,54388,Has solar
Katrinebjergskolen,56.173824,10.196321,Aarhus N,60131,Has solar
Kaløvigskolen,56.260174,10.342974,Skødstrup,0,Doesn't have solar
Kragelundskolen,56.11541,10.197737,Højbjerg,16018,Has solar
Lisbjergskolen,56.218662,10.157976,Aarhus N,16019,Has solar
Læssøesgades skole,56.146378,10.188354,Aarhus C,0,Doesn't have solar
Malling Skole,56.03915,10.198192,Malling,16009,Has solar
Møllevangskolen,56.164825,10.184485,Aarhus V,0,Doesn't have solar
Mårslet Skole,56.068867,10.157019,Mårslet,16010,Has solar
Frederiksbjerg skole,56.144764,10.19848,Aarhus C,41460,Has solar
Risskov Skole,56.192966,10.229043,Risskov,0,Doesn't have solar
Rosenvangskolen,56.131271,10.183323,Viby J,54449,Has solar
Rundhøjskolen,56.118412,10.178171,Højbjerg,16020,Has solar
Sabro-Korsvejskolen,56.211243,10.023426,Sabro,16023,Has solar
Samsøgades Skole,56.162449,10.20254,Aarhus C,0,Doesn't have solar
Skovvangskolen,56.175533,10.208733,Aarhus N,0,Doesn't have solar
Skødstrup Skole,56.271587,10.308501,Skødstrup,16011,Has solar
Skåde Skole,56.104164,10.207989,Højbjerg,16024,Has solar
Solbjergskolen,56.042149,10.084158,Solbjerg,16014,Has solar
Strandskolen,56.200199,10.244444,Risskov,0,Doesn't have solar
Sølystskolen,56.211697,10.283297,Egå,16025,Has solar
Søndervangskolen,56.111263,10.149488,Viby J,16016,Has solar
Tilst Skole,56.189537,10.113276,Tilst,16012,Has solar
Hårup Skole,56.288342,10.216692,Hjortshøj,0,Doesn't have solar
Tranbjergskolen,56.090076,10.14048,Tranbjerg J,0,Doesn't have solar
Vestergårdsskolen,56.129375,10.156499,Viby J,0,Doesn't have solar
Viby Skole,56.127964,10.164447,Viby J,22229,Has solar
Virupskolen,56.243191,10.272163,Hjortshøj,0,Doesn't have solar
Vorrevangskolen,56.185951,10.199095,Aarhus N,0,Doesn't have solar
Åby Skole,56.150635,10.164974,Åbyhøj,0,Doesn't have solar
Næshøjskolen,56.146523,9.9988079,Harlev J,0,Doesn't have solar
Skæring Skole,56.226681,10.298241,Egå,16015,Has solar
Skjoldhøjskolen,56.174107,10.113787,Tilst,16021,Has solar
Lystrup Skole,56.236736,10.229774,Lystrup,0,Doesn't have solar
Langagerskolen,56.118366,10.133548,Viby J,0,Doesn't have solar
Netværksskolen,56.213264,10.171948,Aarhus N,0,Doesn't have solar
Ellehøjskolen,56.169418,10.150394,Aarhus V,0,Doesn't have solar
