Dagtilbud,Instnavn,Adresse,lat,lng,sid,Has Solar Panels
Tovshøj dagtilbud,DII Tumlehøjen,Jernaldervej 3A,56.170059,10.15234,54374.0,Has Solar
Ellevang dagtilbud,Børnehuset ved Skoven,Kantorvænget 31,56.200714,10.205698,54386.0,Has Solar
Holme-Rundhøj dagtilbud,Elverhøj,Nygårdsvej 11,56.110626,10.175195,54392.0,Has Solar
Holme-Rundhøj dagtilbud,Flyverhøjen,Nygårdsvej 15,56.110622,10.17618,54392.0,Has Solar
Kolt Hasselager dagtilbud,Børnehuset Pilehytten,Pilegårdsvej 89,56.106232,10.076284,54403.0,Has Solar
Kolt Hasselager dagtilbud,Dagplejen i Kolt og Hasselager,Pilegårdsvej 95,56.106136,10.075345,54403.0,Has Solar
Kolt Hasselager dagtilbud,Spiloppen,Pilegårdsvej 95,56.106136,10.075345,54403.0,Has Solar
Lystrup-Elsted dagtilbud,Børnehuset Lyset,Indelukket 5,56.241398,10.24633,57123.0,Has Solar
Lystrup-Elsted dagtilbud,Børnehuset Lyset,Indelukket 5,56.241398,10.24633,54409.0,Has Solar
Beder-Malling dagtilbud,Børnehuset Ajstrupvej,Ajstrupvej 47,56.038364,10.200057,54399.0,Has Solar
Risskov dagtilbud,Vuggestuen Lindenborgvej,Lindenborgvej 7,56.188934,10.212645,54376.0,Has Solar
Specialdagtilbud Skovbrynet,Afdeling Nygårdsvej,Nygårdsvej 13,56.110981,10.175193,54392.0,Has Solar
Viby-Rosenvang dagtilbud,DII Børnehuset Fredensvang,Vidtskuevej 27,56.127319,10.177152,298.0,Has Solar
Viby-Rosenvang dagtilbud,Hurlumhejhuset,Vidtskuevej 31,56.127739,10.176198,298.0,Has Solar
