_id,sid,date,magistrat,location
1,82445,2020-07-09,,Bøgeskov Høvej 5
2,54399,2020-07-09,MBU ,Ajstrupvej 49
3,22224,2020-07-09,MBU ,Bakkegårdsskolen
4,60127,2020-07-09,MBU ,Ellekærskolen
5,60129,2020-07-09,MBU ,Elstedskole
6,41460,2020-07-09,MBU ,Frederiksbjerg Skole
7,16017,2020-07-09,MBU ,Gammelgårdskolen
8,16022,2020-07-09,MBU ,Hasle Skole
9,16008,2020-07-09,MBU ,Holme Skole
10,54388,2020-07-09,MBU ,Højvangskolen
11,57123,2020-07-09,MBU ,Indelukket 20 (KF)
12,54409,2020-07-09,MBU ,Indelukket 5
13,54374,2020-07-09,MBU ,Jernaldervej 3A
14,54386,2020-07-09,MBU ,Kantorvænget 33
15,60131,2020-07-09,MBU ,Katrinebjergskole
16,16018,2020-07-09,MBU ,Kragelundskolen
17,57120,2020-07-09,MBU ,L.A.Rings Vej 56 (KF)
18,54376,2020-07-09,MBU ,Lindenborgvej 7
19,16019,2020-07-09,MBU ,Lisbjergskolen
20,16009,2020-07-09,MBU ,Malling Skole
21,16010,2020-07-09,MBU ,Mårslet Skole
22,57117,2020-07-09,MBU ,Møllevangs alle 20 (KF)
23,54392,2020-07-09,MBU ,Nygårdsvej 5
24,54403,2020-07-09,MBU ,Pilegårdsvej 95 (BM)
25,54449,2020-07-09,MBU ,Rosenvangskolen
26,16020,2020-07-09,MBU ,Rundhøjskolen
27,16023,2020-07-09,MBU ,Sabro-Korsvejskolen
28,16021,2020-07-09,MBU ,Skjoldhøjskolen
29,16024,2020-07-09,MBU ,Skåde Skole
30,16015,2020-07-09,MBU ,Skæring Skole
31,16011,2020-07-09,MBU ,Skødstrup Skole
32,16014,2020-07-09,MBU ,Solbjergskolen
33,54280,2020-07-09,MBU ,Strandvejen  38 (BM)
34,16025,2020-07-09,MBU ,Sølystskolen
35,16016,2020-07-09,MBU ,Søndervangskolen
36,16012,2020-07-09,MBU ,Tilst Skole
37,16013,2020-07-09,MBU ,Vestergårdskolen
38,22229,2020-07-09,MBU ,Viby Skole
39,298,2020-07-09,MBU ,Vidtskuevej 25
40,15523,2020-07-09,MKB ,Dokk1
41,54294,2020-07-09,MKB ,Engelundsvej 9
42,54286,2020-07-09,MKB ,Godsbanen
43,57124,2020-07-09,MSB ,Gl. Kirkevej 82 (KF)
44,57115,2020-07-09,MSB ,Graham Bells Vej 1A (KF)
45,57116,2020-07-09,MSB ,Graham Bells Vej 1B (KF)
46,54405,2020-07-09,MSB ,Havkærparken 47D
47,57126,2020-07-09,MSB ,Trankær Mosevej 25 (KF)
48,54282,2020-07-09,MSO ,Ceres Allé 13
49,54378,2020-07-09,MSO ,Engelstoft 123
50,54290,2020-07-09,MSO ,Hedevej 50
51,54394,2020-07-09,MSO ,LC Bushøjvænget 113
52,54401,2020-07-09,MSO ,LC Elmevangsvej 2
53,2506,2020-07-09,MSO ,LC Mosealleen 1-3
54,54396,2020-07-09,MSO ,LC Nygårdsvej 34
55,54390,2020-07-09,MSO ,LC Rosenvangs Allé 76
56,54292,2020-07-09,MSO ,Plantagevej 14
57,54411,2020-07-09,MSO ,Tronkærgårdsvej 102
58,54384,2020-07-09,MSO ,Vintervej 96
59,54288,2020-07-09,MTM ,Bautavej 1
60,57119,2020-07-09,MTM ,Grøndalsvej 1 (KF)
61,57122,2020-07-09,MTM ,Holmskovvej 66 (KF)
62,54284,2020-07-09,MTM ,Kalkværksvej 10
63,54407,2020-07-09,MTM ,Munkevejen 4
